ID,Code,Name
22739,336156,40,늬퉤
22746,336159,40,표좌
22795,336168,40,줴싸
22817,336171,40,틔프
22852,336178,40,뛰쵸
22854,336178,40,뙈부
22865,336181,40,꼐뢰
22869,336181,40,돠자
22917,336191,40,쥐쇠
22958,336198,40,위뤼
22990,336204,40,늬코
23009,336209,40,휘뇌
23015,336210,40,라쿼
23054,336216,40,처풔
23059,336217,40,꽈텨
23101,336225,40,뭬꿔
23129,336231,40,쉐워
23137,336233,40,똬퀘
23149,336236,40,듀뻐
23240,336251,40,혜늬
23246,336252,40,꾀프
23318,336265,40,나펴
23371,336275,40,뀨께
23373,336275,40,게켜
23425,336284,40,겨씨
23598,336314,40,쨔뤄
23636,336319,40,쐐뾰
23669,336327,40,눼춰
23720,336337,40,타휴
23722,336337,40,해좨
23838,336360,40,귀루
23866,336364,40,쫘스
23882,336366,40,쥐퀴
23939,336377,40,툐채
23943,336378,40,네봬
23975,336383,40,이똬
24024,336392,40,수쒀
24043,336394,40,쏘펴
24092,336402,40,뫼애
24097,336403,40,퀘씌
24160,336412,40,쉐봐
24165,336413,40,다쇼
24185,336416,40,촤섀
24193,336417,40,돠퀴
24254,336427,40,리톄
24269,336429,40,빼태
24285,336431,40,홰의
24373,336447,40,쮜쵸
24492,336466,40,교셔
24531,336475,40,꽈뵤
24544,336476,40,튀뢰
24559,336479,40,베둬
24601,336485,40,둬뾔
24686,336502,40,체다
24688,336502,40,뵈류
24690,336502,40,돠뭬
24695,336503,40,타떼
24776,336517,40,패냐
24786,336519,40,툐찌
24788,336519,40,죠흐
24814,336521,40,탸취
24821,336522,40,꺄규
24882,336533,40,뢰쓰
24897,336535,40,뉘되
24910,336537,40,쇼뉘
24979,336547,40,쪼톼
24996,336549,40,휘빼
25024,336554,40,느헤
25054,336558,40,갸되
25055,336558,40,교카
25059,336559,40,짜빼
25108,336567,40,재툐
25111,336568,40,류지
25118,336568,40,소텨
25146,336573,40,튀지
25166,336575,40,페에
25174,336576,40,쎄쏴
25229,336585,40,폐뎨
25261,336591,40,꿰뮤
25265,336591,40,뜨브
25304,336596,40,뱌그
25315,336597,40,니줘
25351,336603,40,애코
25380,336607,40,뒤보
25457,336625,39,제회
25479,336630,39,놔꾸
25496,336633,39,쾨쮜
25500,336635,39,톼쏘
25504,336635,39,소어
25519,336640,39,샤회
25555,336645,39,귀뒤
25567,336646,39,훼츠
25577,336648,39,싸갸
25579,336649,39,뛔쩨
25588,336650,39,료뎨
25674,336667,39,궈교
25818,336690,39,솨뾰
25823,336691,39,꿰내
25862,336698,39,러추
25907,336708,39,눼퓌
26006,336729,39,셔쿠
26084,336747,39,샤퇘
26085,336747,39,져뮈
26118,336755,39,텨케
26154,336762,39,게붸
26192,336767,39,녀가
26195,336767,39,쬐레
26234,336775,39,뗘모
26259,336778,39,도추
26286,336783,39,푸뼈
26384,336798,39,튀드
26389,336800,39,퇘봐
26399,336802,38,눼쾌
26417,336808,38,좌뵈
26472,336818,38,뎨구
26479,336819,38,과뫼
26490,336821,38,쮜뤄
26513,336828,38,퍄꾀
26541,336833,38,띄서
26603,336844,38,쯔쇄
26604,336844,38,자쒀
26712,336869,38,여희
26751,336876,38,퇴다
26771,336880,38,훠돼
26819,336889,38,듀슈
26909,336908,38,뵈띄
26910,336909,38,웨춰
26951,336918,38,브즈
27065,336941,38,뉴묘
27125,336949,38,쾌테
27132,336952,38,퓌료
27190,336964,38,섀에
27232,336971,38,쇄좌
27268,336979,38,붜무
27349,336995,38,뭐서
27434,337012,38,줴톼
27436,337012,38,때시
27441,337013,38,뫄려
27446,337015,38,야셰
27449,337015,38,쏘쭈
27461,337018,38,샤꾸
27501,337024,38,퓨파
27506,337024,38,틔캬
27507,337024,38,퀴셔
27515,337026,38,쉬똬
27524,337028,38,눠빠
27557,337034,38,셰우
27561,337035,38,카죄
27585,337039,38,츠좨
27630,337048,38,뒤드
27652,337052,38,뾰희
27725,337066,37,겨취
27815,337089,37,놔걔
27828,337093,37,훼뵈
27842,337096,37,뤠듀
27851,337098,37,퍄데
27873,337102,37,쫴쟤
27953,337118,37,됴퇴
27981,337124,37,꾜묘
28050,337137,37,키혜
28066,337140,37,풔외
28080,337143,37,쓰꾀
28113,337153,37,뒤께
28232,337176,37,써긔
28233,337176,37,먀롸
28250,337178,37,소워
28251,337178,37,빼쐬
28264,337181,37,줘여
28290,337187,37,자봬
28315,337192,37,체귀
28379,337204,37,홰미
28412,337210,37,듸훠
28465,337219,37,매댜
28471,337220,37,붜쳬
28543,337235,37,데좌
28569,337239,37,폐뤄
28646,337255,37,므궈
28656,337257,37,드튜
28736,337270,37,주붸
28761,337275,37,유소
28806,337284,37,죠챠
28890,337299,37,쒜머
28891,337299,37,탸뒤
28897,337300,37,똬페
28919,337304,37,호펴
28926,337306,37,셔퀴
28941,337308,37,께솨
28980,337315,37,눠쀼
29003,337319,37,댜햐
29018,337321,37,처냐
29088,337335,37,벼얘
29090,337335,37,히퀴
29094,337336,37,또푀
29104,337338,37,궈최
29107,337339,37,놔짜
29137,337343,37,쒜몌
29181,337349,37,뼈뚜
29182,337349,37,겨뱌
29300,337367,37,쒜때
29308,337368,37,쥬챠
29310,337370,37,쿠눼
29347,337376,37,바케
29379,337383,37,휴뾔
29401,337385,37,써씨
29430,337392,37,러췌
29453,337396,37,버화
29544,337416,36,쪼거
29597,337427,36,타줴
29635,337434,36,놔또
29691,337442,36,테얘
29715,337447,36,쪄게
29780,337458,36,겨뵈
29784,337459,36,좨뭐
29790,337461,36,헤똬
29802,337463,36,퓨퉈
29809,337464,36,꿔즈
29810,337464,36,투소
29844,337470,36,훠뺘
29861,337473,36,혀뻐
29883,337477,36,찌케
29943,337486,36,늬뫄
29979,337494,36,뉴과
30009,337499,36,쓰촤
30021,337502,36,찌퍄
